BoletinMSP,Fecha,Rango edad,Total 
41,5/4/2020,50 - 64 años,903
41,5/4/2020,> 65 años,437
42,6/4/2020,<1 año,6
42,6/4/2020,1 - 4 años,14
42,6/4/2020,5 - 9 años,28
42,6/4/2020,10 - 14 años,27
42,6/4/2020,15 - 19 años,49
42,6/4/2020,20 - 49 años,2232
42,6/4/2020,50 - 64 años,936
42,6/4/2020,> 65 años,455
43,7/4/2020,<1 año,6
43,7/4/2020,1 - 4 años,15
43,7/4/2020,5 - 9 años,28
43,7/4/2020,10 - 14 años,19
43,7/4/2020,15 - 19 años,52
43,7/4/2020,20 - 49 años,2348
43,7/4/2020,50 - 64 años,1012
43,7/4/2020,> 65 años,505
44,8/4/2020,<1 año,7
44,8/4/2020,1 - 4 años,18
44,8/4/2020,5 - 9 años,30
44,8/4/2020,10 - 14 años,30
44,8/4/2020,15 - 19 años,57
44,8/4/2020,20 - 49 años,2603
44,8/4/2020,50 - 64 años,1149
44,8/4/2020,> 65 años,556
45,9/4/2020,<1 año,9
45,9/4/2020,1 - 4 años,19
45,9/4/2020,5 - 9 años,31
45,9/4/2020,10 - 14 años,35
45,9/4/2020,15 - 19 años,67
45,9/4/2020,20 - 49 años,2926
45,9/4/2020,50 - 64 años,1272
45,9/4/2020,> 65 años,606
46,10/4/2020,<1 año,11
46,10/4/2020,1 - 4 años,24
46,10/4/2020,5 - 9 años,51
46,10/4/2020,10 - 14 años,51
46,10/4/2020,15 - 19 años,99
46,10/4/2020,20 - 49 años,4219
46,10/4/2020,50 - 64 años,1798
46,10/4/2020,> 65 años,908
47,11/4/2020,<1 año,11
47,11/4/2020,1 - 4 años,25
47,11/4/2020,5 - 9 años,50
47,11/4/2020,10 - 14 años,50
47,11/4/2020,15 - 19 años,99
47,11/4/2020,20 - 49 años,4270
47,11/4/2020,50 - 64 años,1826
47,11/4/2020,> 65 años,926
48,12/4/2020,<1 año,12
48,12/4/2020,1 - 4 años,25
48,12/4/2020,5 - 9 años,51
48,12/4/2020,10 - 14 años,51
48,12/4/2020,15 - 19 años,101
48,12/4/2020,20 - 49 años,4393
48,12/4/2020,50 - 64 años,1876
48,12/4/2020,> 65 años,957
49,13/4/2020,<1 año,13
49,13/4/2020,1 - 4 años,25
49,13/4/2020,5 - 9 años,51
49,13/4/2020,10 - 14 años,51
49,13/4/2020,15 - 19 años,102
49,13/4/2020,20 - 49 años,4430
49,13/4/2020,50 - 64 años,1891
49,13/4/2020,> 65 años,966
50,14/4/2020,<1 año,13
50,14/4/2020,1 - 4 años,25
50,14/4/2020,5 - 9 años,52
50,14/4/2020,10 - 14 años,51
50,14/4/2020,15 - 19 años,102
50,14/4/2020,20 - 49 años,4474
50,14/4/2020,50 - 64 años,1907
50,14/4/2020,> 65 años,979
51,15/4/2020,<1 año,13
51,15/4/2020,1 - 4 años,25
51,15/4/2020,5 - 9 años,53
51,15/4/2020,10 - 14 años,53
51,15/4/2020,15 - 19 años,102
51,15/4/2020,20 - 49 años,4635
51,15/4/2020,50 - 64 años,1967
51,15/4/2020,> 65 años,1010
52,16/4/2020,<1 año,14
52,16/4/2020,1 - 4 años,26
52,16/4/2020,5 - 9 años,55
52,16/4/2020,10 - 14 años,53
52,16/4/2020,15 - 19 años,103
52,16/4/2020,20 - 49 años,4840
52,16/4/2020,50 - 64 años,2059
52,16/4/2020,> 65 años,1075
53,17/4/2020,<1 año,14
53,17/4/2020,1 - 4 años,27
53,17/4/2020,5 - 9 años,55
53,17/4/2020,10 - 14 años,55
53,17/4/2020,15 - 19 años,105
53,17/4/2020,20 - 49 años,4979
53,17/4/2020,50 - 64 años,2107
53,17/4/2020,> 65 años,1108
